SuperClass,Class,SubClass,Metabolite,A1_Control,A1_Context,A2_Control,A2_Context,B1_Control,B1_Context,B2_Control,B2_Context,C1_Control,C1_Context,C2_Control,C2_Context,D1_Control,D1_Context,D2_Control,D2_Context,E1_Control,E1_Context,E2_Control,E2_Context,F1_Control,F1_Context,F2_Control,F2_Context,G1_Control,G1_Context,H1_Control,H1_Context,H25361_Control,H25361_Context,H25362_Control,H25362_Context,H25363_Control,H25363_Context,H25364_Control,H25364_Context,H25365_Control,H25365_Context
Homogeneous non-metal compounds,Homogeneous other non-metal compounds,NA,H20,306976732.8,306991284.2,310401654.7,10329451.67,230411020.6,131320613.4,345803590.9,345803871.1,205923433.6,202002177.7,429919549.9,63902527.73,374952765.8,374213352.8,1053963784,303741900.1,434639971,43104326.9,331666904.8,137402616.7,85889952.08,84610661.46,443823533.3,39359866.8,9987174.523,21391193.47,29238778.91,181489656.5,212095219.5,60994661.09,342867766.2,90915573.64,45926547.36,45888927.02,409374013.6,83601949,83601949.05,27848143.08
Homogeneous non-metal compounds,Homogeneous other non-metal compounds,NA,NH4,3147999482,2847345868,2617495352,137299941.1,1276808875,1118220808,3179797027,4051932799,2016551073,2349427794,4059465404,590507458.8,5840646693,7292899652,9821227177,1430603952,1494538754,718106335.3,2907369215,1187712028,298652889.8,1128515282,2122763687,374417116.7,11.51538144,104.0806637,2413849661,960941758.8,2507058712,1912659402,1634534315,417235147.1,3000908714,6402608082,3801827049,475396419.3,489740514.5,1860642497
Homogeneous non-metal compounds,Homogeneous other non-metal compounds,NA,Carbon_Monoxide,989.0733055,76.61652338,4334.042905,561.9134722,1040.236656,15842.71219,2866.763784,919.1494646,1051.407957,2201.893322,7989.121387,4.08E+01,1811.389455,1950.660899,9833.150571,2219.020032,10049.04868,635.9841822,3463.397672,1514.458032,1464.340622,20.0537393,3715.029892,87.84492837,500.0415256,1100.152532,3430.97785,159.1645181,5471.66166,1879.740259,10470.64817,880.7547006,24441.45096,4025.234019,11635.482,2970.69741,625.5076333,1733.295223
Organic acids and derivatives,Hydroxy acids and derivatives,Beta hydroxy acids and derivatives,L_Malic_Acid,157387.9836,6274.182946,317850.3074,224.2462148,5455.635112,516983.0601,0,20.3804884,1142.79208,0,1711175.535,25081.71556,0,0,531929.2545,32075.27086,1443.489113,53461.84277,335193.3884,620978.6219,321273.5749,41.77694622,9283.548696,99070.48607,0,0,9069.71356,940.9134153,0,299.3171064,199764.8719,12491.07961,58501.82833,0,1740211.906,7867.798948,4953.005798,472.5503157
Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,Glycolic_Acid,49571112.17,33507435.72,42642369.66,382238.6955,32826535.02,128383404.8,19513318.41,21539605.39,27163082.75,24381120.66,47136352.19,13064127.8,53582628.93,48495471.6,132055657.9,33431515.05,32345678.91,17324463.69,33889038.62,7461468.305,918842.8673,10009385.23,44829046.99,2284790.369,3367521.83,4193162.82,37307631.23,14954933.76,45881278.63,23766893.1,44346606.97,3781814.301,31116463.26,40519621,53802873.7,6500821.473,5951708.926,34720483.21
Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,L_Lactic_Acid,1877719.842,4751234.061,2395121.582,2550830.597,2607169.31,26828941.68,1394280.383,1442896.615,4095796.495,1242698.547,1752495.14,6801078.453,2210603.238,1474872.698,543187.3671,804124.436,29675326.05,2515539.729,2503842.446,22504618.62,255072032.8,47128.26187,2585372.56,3257982.96,276339808.9,509036.2546,124339.5994,10357545.48,1312357.995,199710.0925,5440836.918,8225112.962,2173366.378,2164007.931,2282772.257,147957.0568,202345.0165,4874604.075
Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives,D_Lactic_Acid,14801725.37,7075404.559,177.0556039,21705.65101,0,0,13062268.74,13066643.6,9146659.321,6830768.78,314.0985492,281966.5599,53246803.56,53252399.06,23.48499786,58928.79395,21321.01444,18.41968482,0,21139628.93,1403721.281,2848943.205,0,0,8227371.18,7176109.468,5625332.895,3458017.198,181132.3218,8265244.05,0,0,47999563.94,48001259.69,9.871773613,965659.5806,965662.7981,1698342.013
Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Adenine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3304622819,0.3816899769,0,0,0,0,0,0,0,0,0,0,0,0
Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,Xanthine,1660614.036,33693.30245,9035.014224,0.208256799,117648.0337,99527.43255,581451.9178,3364664.568,90165.66433,366594.526,262560.762,40808.8502,326790.3096,179081.753,1264604.8,181577.2605,568898.534,277068.8431,168408.1183,372486.5812,44894.23957,377872.5504,1264199.727,99303.3249,21033.31917,8324.767733,257388.4405,34733.86754,429553.056,491399.5271,801076.1545,46215.73654,1328670.942,1620343.335,1459817.532,237621.0539,150331.6746,134865.1532
Organic acids and derivatives,Keto acids and derivatives,Alpha-keto acids and derivatives,Pyruvic_Acid,209485.4537,209485.4537,212895.6316,6435.574803,146194.0041,149630.1089,173108.4297,173108.4297,157129.0388,169453.2319,198508.6023,28723.9723,278851.1554,278386.4848,708953.215,417812.5244,211261.4107,52159.74835,293645.5942,67177.44611,53685.23499,35223.16351,233888.4328,17345.89183,182400.3577,645150.9215,214868.7835,80954.5042,196520.133,65837.42855,192221.9065,47398.20695,301867.2543,303084.9925,227898.7587,44479.34629,37799.22759,115712.1023
Organic acids and derivatives,Keto acids and derivatives,Gamma-keto acids and derivatives,Oxoglutaric_acid,179636.727,129923.9376,183341.3062,131850.2688,185914.3943,463851.9531,557018.4581,555894.8344,184741.1304,78802.9098,394935.1664,260923.05,1121500.547,942391.9858,1590414.869,161705.5877,88069.1878,416428.9845,963919.5246,182061.8269,159890.6552,140743.0748,131370.0974,37717.93844,44705.42149,176306.1239,214667.2528,459425.5635,171501.6648,288720.2837,235820.6365,165929.9533,1485300.59,1372445.378,236713.8757,150877.0619,189375.791,222008.6503
Organic acids and derivatives,Keto acids and derivatives,Short-chain keto acids and derivatives,alpha_Ketoisovaleric_acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.046948174,1.209243087,0,0,0,0,0,0,0,0,0,0,0,0
Organoheterocyclic compounds,Lactones,Gamma butyrolactones,S_Adenosylhomocysteine,0,0,0,0,0,0,0,0,0.0001090643929,7.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic compounds,Lipids and lipid-like molecules,Glycerophosphates,Glycerol_3_Phosphate,130.2378578,341.6681478,218776.566,122055.9306,1633.261392,8920.05647,0,0,1132.150922,1614576.763,4942.571484,0,0,0,311.5960192,441.2046197,16825.38247,16097.70092,0,0,0,687.1875436,106.1167092,0,0,0,1343.217972,0,288762.5098,547.9098195,21987.85025,0,0,0,14313.54591,0,3335.876687,6163.278208
NA,NA,NA,Heme,1462.5821,1627.462854,3484.370174,183.7413804,1671.018106,2068.776798,1078.974213,1023.692311,1135.10584,1316.215757,4522.891296,1490.890951,2850.017237,3436.437423,13279.11961,3222.417823,3468.713594,891.1206721,2190.679626,887.207773,43.52888756,735.2034338,2687.96359,298.3897966,126.5106889,131.1565185,2448.155743,990.4044603,2874.209778,1021.406686,4393.282676,710.772968,5486.406956,5960.757606,4949.04109,680.2787389,713.7932343,845.7992276
NA,NA,NA,2_Dehydro_3_deoxy_D_gluconate,0,0,11315.29978,0,0,0,0,0,0,34.16803263,479.2087122,0,0,0,16667.86581,7941.804428,8827.496264,0,1626.398769,902.7398888,27.00052242,118.7629955,3430.88936,0,0,0,267.1688469,3.815063118,5823.941352,2776.467003,223.3907409,1673.337524,0,0,585466.2191,46.56701352,0,2001.725801
NA,NA,NA,S_Ribosyl_L_homocysteine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004740284375,237206649,7.42E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,Hydroxyphenyllactic_acid,0.3773515023,0.3773515023,0,0,0,0,0.1214512875,0.1214512875,119391.3547,0.0404875719,0,0,0,0,2625.540591,44192.04165,0,0,0,0,0,0,0,0,0,0,65.0356626,600.5519329,0,0,26729.6254,95.57224332,1.200014813,1.200014813,0,0,0,0.01245360326
NA,NA,NA,Biomass,1640.636054,1640.636054,1525.297958,1651.930231,2124.719323,1976.647726,1096.838431,1597.581451,1822.276135,1459.631554,1616.724707,1675.964047,1783.346693,1780.374965,4805.283639,1686.870934,1619.938335,1647.625425,1283.488154,1891.581924,1555.332615,1759.868425,1693.849363,1716.298785,1656.3094,1805.576638,1748.105954,1558.368358,1443.537054,1472.404579,1644.33414,1334.142143,1930.542479,1938.330417,1513.837661,1281.469343,1281.469354,1443.37928
Homogeneous non-metal compounds,Non-metal oxoanionic compounds,Non-metal phosphates,Phosphate,4664509.197,2156090.328,8465007.869,5799390.623,6576676.275,433751.4991,697987.9932,407745.709,4694203.002,3538438.318,1242716.872,1891905.849,610412.7194,343811.947,47282117.14,1234116.221,1688463.79,5770253.543,3012375.648,19286913.38,1928679.79,464991.8954,2100589.404,214229.6629,13275.39198,19954.61308,49116212.14,472161.6414,14890027.66,10162988.57,2380267.422,366257.0156,269383.9994,504276.9709,2341948.948,366340.363,283964.1703,6891392.614
Homogeneous non-metal compounds,Non-metal oxoanionic compounds,Non-metal pyrophosphates,Pyrophosphate,514498.4022,109333.0968,1047874.008,1299730.634,1172647.256,1999.814283,29457.92474,6217.24659,709640.0355,326188.9057,216.5592432,257863.0457,0,0,6751326.65,24106.32418,0,1139352.298,28780.69974,4032217.372,364360.8342,0,3342.70107,13106.76479,157767937.3,80095264.36,7382852.886,66988.20601,1603399.558,1779823.271,913.900166,3759.279117,0,0,154.8596283,0,0,202692.5978
Homogeneous non-metal compounds,Non-metal oxoanionic compounds,Non-metal sulfates,Sulfate,861830.205,515948.7093,2573367.394,163243.7454,1283857.039,2907036.658,3673439.64,3989842.62,4724212.566,1507081.759,4143460.621,60739.81465,138103.3321,2140473.699,7984320.417,3493236.666,2076690.435,206561.9756,365436.538,220557.7901,122504.275,533234.3633,2709321.795,39459.79417,25248.71806,65527.6158,3154026.959,1207040.394,3055365.336,1635423.945,3141591.794,453388.4842,296798.9519,194608.6115,876607.9315,936620.216,1091546.331,778680.5516
Homogeneous non-metal compounds,Non-metal oxoanionic compounds,Non-metal sulfites,Sulfite,31896.23332,306.6320431,802.5745914,0,354.3594186,3234.434696,369475.8807,369868.07,0,0,0,0,1612.152486,12470.82264,0,0,0,0,0,0,0,0,0,0,476270.4636,0,14305.87802,801.3048348,0,0,0,0,3328345.151,544160.071,1.089803736,7765.015162,0,0
Organic acids and derivatives,Organic carbonic acids and derivatives,Ureas,Urea,42941402.74,12863610.1,1880539.438,1908.525484,248897.1029,757277.6198,22951893.82,47846185.46,11287787.9,10651223.94,4674038.871,1611408.571,134801567.6,135470080.1,21053740.33,395141.7213,4162498.159,10383231.18,2253360.452,21761968.58,2233.027914,682933.7296,381249.1695,1946007.564,260425.7821,50893.66937,1496801.902,659044.8305,10116425.72,10444650.4,682467.3691,1004451.344,8292635.378,103721061,23012847.41,1453845.854,445657.3903,6430499.286
Organic acids and derivatives,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives,Taurine,39075883.82,16832087.99,177782763.5,5908922.331,94130548.37,150945.645,67947066.4,60447120.6,66060072.16,54702153.34,184639220,19334207.84,124104905.3,124761951.2,409851338.3,104156517.3,119549096.3,109043888.8,163213170.3,34583747.72,6351329.172,32993719.03,173179048.7,10868906.92,4674218.954,4444040.426,141521271.4,38002723.2,184333195.8,58585561.79,158036690.6,20735931.88,63169142.78,66418607.87,177085598.7,32598016.31,30074046.05,40201931.26
Organic compounds,Organoheterocyclic compounds,Organoheterocyclic compounds,Ascorbic_Acid,0,0,0,0,4490143.276,5019198.578,0,0,94745.95101,299290.0705,6894593.07,2534654.238,0,0,19151738.57,4665451.846,5124974.824,2459781.313,5289216.209,510670.8998,3308881.76,3737050.093,5399463.046,3761093.984,2.65427172,0.08491361673,3690010.404,1701540.158,7369461.072,3249495.414,4427571.611,4970128.845,0,0,6966889.606,4437884.908,4339555.432,6509216.916
Organic compounds,Organoheterocyclic compounds,Indoles,Indole,171176.6638,382486.7762,282464.8777,832424.741,183354.7922,358621.892,279154.1565,334819.9886,94629.14886,84281.74634,440478.4698,55535.51025,302575.4388,181229.3622,1414115.507,574576.1969,640529.0669,94636.42986,937947.9163,288582.1224,6775.742869,162406.9351,594704.6682,59992.9791,2430.059208,2631.87599,953186.1338,78701.08381,716820.0151,100189.4344,870176.497,59221.03714,538396.7281,595579.5762,921362.7609,154802.6451,120572.1402,56163.74109
Organic nitrogen compounds,Organonitrogen compounds,Amines,Putrescine,21283.3901,865215.5582,1736000.116,1229.088822,451087.5409,1492088.412,0.386729025,20714.1841,9702.229789,171737.5337,476193.8062,204185.0775,5.516732075,319.1658888,1796582.645,418704.285,11428518.53,734945.0835,1128825.986,84646.68048,453.0485043,395.1684392,4726665.431,909339.5486,0,0,91030.56968,495682.3336,1448078.73,154336.9779,15295463.74,460799.2567,210.8790123,538.699286,1354685.26,345859.0299,1702159.614,36918.12998
Organic nitrogen compounds,Organonitrogen compounds,Guanidines,Agmatine,21739.35991,17656.5156,153302.5931,24.18944288,24406.4841,27.88262332,3878.57067,112.5241913,7412.428164,5586.451121,39069.5177,59771.4761,28052.24856,188779.0734,607707.7437,288006.9158,1788123.749,17889.71862,308245.3094,1.33E+04,1194.363345,11662.52356,698680.8905,9318.984153,2267.021045,0,979356.9401,5.381387361,47572.8938,2293.418506,1189525.673,8855.25999,110067.1244,53836.83713,727115.8821,65156.46012,58289.66499,491.2781516
Organic nitrogen compounds,Organonitrogen compounds,Amines,Spermadine,370.1040743,374.1733427,531.2694715,6.899414234,5337.41502,0.1051712684,1924.789747,35001.82578,416.0698673,1206.417771,2052.433942,713.2060975,38595.26987,136864.7461,2606.322351,44156.11196,1519.915256,142.0698138,86818.79155,745.3354624,25.91249646,3.26189543,1546.120032,282.8550125,32.38771737,99.41493766,63.31114949,595.8871304,1565.623646,11714.1484,26697.11559,93.61023378,11300.69597,25626.19596,335.8958436,146.818741,78.32797196,1672.042165
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,D_Glucose,20632710.72,17782367.68,50237300.89,5867511.412,24139181.98,20860851.1,28316452.84,26930180.61,32806260.03,32175448.58,44622371.83,6802458.005,35085005.87,35702631.25,154010984.3,37594663.76,51735718.42,14002313.43,49040143.35,17089043.28,13832118.02,7023200.076,52719404.54,4976355.688,42306506.78,1908952.733,47884513.82,22019608.86,46153061.32,18119867.71,49990008.36,11558703.42,41340982.76,39502983.36,46912235.39,8884207.087,8770876.63,25239807.51
Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Formaldehyde,48.63138062,0.0002265614134,0,0,0,0,0.000006084362833,0,1.07E-04,64749551,0,0,6.658134596,6.658139898,0,0,0,0,0,0,0,0,0,0,1.01E-04,1.16E-04,0,0,0,0,0,0,124.0724388,327.772698,46.30601415,0,0,0
Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Acetaldehyde,8886167.594,112370.718,56071.45478,8618.689603,588581.9033,88786.77461,97726.60373,121771.7369,119155.9298,147199.3765,11542779.69,1194516.29,327262.8104,326717.468,991433.0143,2106702.006,5700834.114,141288.7027,562660.8231,2410450.215,6445913.955,84429.19371,285979.489,27879.83159,271031.7579,48902.85327,276370.6801,41972.01932,1365463.774,26813.65167,310709.779,1166882.972,354274.7622,355703.9141,1883671.194,27869.44005,11105.77269,119708.7217
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sucrose,4.498308204,4.549380851,7589616.492,376020.8472,123904.8217,119811.4914,2.679835527,26018578.1,15235.12058,22460.76671,322037.2319,213928.218,3.717844378,3.624039878,510660.2613,179083.7167,227115.4589,33164.02179,233141.1623,333816.5085,31404.30025,60721.88237,243667.2619,26202.85927,1.145089665,1.910719551,117402.499,57019.97801,187329.6107,99047.84417,280979.8241,33996.28242,91854.09061,92236.08151,275825.8025,36392.67994,34892.27134,52011.24814
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,D_Fructose,953.1698973,59283148.19,208145.515,603.3087987,56122.69138,34485.73305,68889.15689,51622.72336,31451.01147,6293.020206,5886.869892,264.1322256,91829.22266,43078.36811,37209.11594,167549.3467,45704.31992,2275.964417,344.369426,117.9008315,7.458554889,3056.926166,39253.30331,995.3300666,29326.29654,29138.47806,47054.54876,22492.9942,114674.8116,2176.007385,13423.95615,3998.416405,2105.898222,47092.79684,21313.01249,4126.789166,385.7151355,0
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycerol,1934163.019,1110873.834,5388276.828,166360.2089,3511168.895,1455832.424,2954304.013,2880429.301,3507047.067,3594394.484,5216916.217,574608.1924,3736059.977,3439832.749,17481479.12,4336112.74,4613505.464,1442518.305,6344513.692,1949129.408,1670230.33,2721995.638,6616457.128,601957.9407,4368383.853,29277.48472,5835545.903,3351942.597,5735162.365,2583855.045,5561748.285,1147006.188,3425534.504,3151648.297,6259420.174,975352.3873,1020979.268,2636069.569
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,D_Ribose,2977.846065,10144.63109,18008.95863,0.7160975695,470.7676028,7697.162418,4545.098758,3632.402259,281.9312072,111210.5206,64705.17084,2663.948715,1588.696097,2864.581637,159894.143,10243.51576,21829.20027,38462.40985,10145.37255,24618.49643,988.207657,6987.628586,35727.54962,11576.84351,22.99734067,86.04278963,970.1620017,1.18E+03,74126.1335,2114.482643,91384.78467,300.4533127,34273.80962,6507.455226,47802.21636,52899.33194,7325.603127,21516.41084
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,D_Galactose,541941.2332,287685.2896,1182744.623,83797.6533,946329.6151,738470.5374,467131.1892,459309.579,595969.8702,946607.2085,1445595.115,123229.191,758474.3755,742086.3034,5267396.077,1088947.54,1781091.381,403806.1244,1686893.81,812622.8763,543661.0969,421382.0857,1686286.672,195551.7987,10592.68554,9222.166283,1443699.081,642159.7876,1724343.022,799027.7001,1806846.491,376959.6897,766346.7144,684287.4025,1761154.85,430123.8525,442689.0884,790861.5199
Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Myo_Inositol,1230547.189,59261.24107,15891.50826,1200.827176,49335.22273,575664.7197,2558573.71,1092430.89,434417.2569,364409.4295,1787820.053,3397.845344,1772609.743,268526.4137,18412.30792,30942.82514,140751.6142,704.2230512,9327.509242,28.91928235,6645.47406,10919.60426,25925.32817,0.3602392328,7390.33737,198067.4255,20167.52517,72527.06739,191844.3565,7524.841874,131190.2757,20951.33069,269646.6053,1273543.063,395849.6468,134316.2383,24569.25858,10875.54723
Organic oxygen compounds,Organooxygen compounds,"Amino acids, peptides, and analogues",D_Mannose,17640.69947,0,140680.6906,208.4695662,800.9966011,25078182.33,73207.76756,35120.48261,641.4270218,5743.992227,7490.555979,0,16083.4551,258.8445178,4789.886919,15189.31836,1864.948396,13984.30243,0,0,2.799665631,9308.090234,12512.89294,0,0,0,4499.230707,1087.594552,16700.65757,533.7094082,16068.96285,4269.070299,21449.89554,1161.169966,1170.082173,4686.755019,577.0400235,6779.90624
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,D_Xylose,125.5748111,29084.41543,9.42E+02,0,0,0,884.5280071,1104.00461,13195.89869,208.7848788,32.35566573,0,0,14390.7552,3010.073132,807.9352646,46.53711318,149.928921,16.11577902,8.03E-06,0,0,0,0,0,0,2017.53619,0,0.0000001013498333,0.000000351135,0,1.00E-06,356.3091697,58.2658121,0,3.420340144,1282.147468,122.7315993
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,D_Glucuronic_acid,0,0,1606373.591,589296.1999,713785.194,135015.1079,0,0,24584.01351,99548.5458,1456486.391,688316.4718,0,0,3985594.344,1274143.631,767673.3818,790050.0463,867700.5816,407655.1567,413945.3105,1286503.324,1559983.962,657993.2311,0,0,1026582.879,699725.7972,1464966.43,1495183.28,1270829.877,966111.4512,0,0,3405958.955,691249.9491,755382.7872,1348273.812
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,D_Maltose,239402.0612,97986.81645,966211.3759,538490.6841,820478.2355,15.70784329,236268.1935,281283.7952,340051.5222,400921.6867,1041741.926,850929.864,525107.9451,498327.8171,2670306.456,591075.5236,767877.0561,886320.9018,1352298.832,635042.7605,779334.5194,825750.9754,1153513.015,1121057.619,1039872.265,237080.9165,562328.8648,468396.01,754520.5804,820988.0503,968365.6571,743418.8236,765743.8807,814330.9115,1051109.666,700690.7306,716416.445,894075.6277
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Alpha_Lactose,127679.9479,25356376.63,471059.824,16523.03435,283954.9532,0.1051712684,105425.2604,143757.3001,208319.7003,185629.7212,450065.7704,71631.18136,349447.3786,442510.2085,2110969.122,418256.1553,446710.2039,60392.83957,497750.2687,806264.2997,75469.01043,169086.5357,439248.0471,32504.11753,7951.559703,3689.446367,410442.1182,128921.8609,659155.6886,365182.2672,643237.9455,214527.2853,996020.6129,866390.0223,786163.3518,198068.3636,255769.3981,122298.7309
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Gluconic_Acid,940175.0686,1099854.342,5747382.878,1765862.14,4822302.747,3752.018268,1143744.485,1656881.528,2079736.938,1326333.59,7028774.881,517805.8683,3981152.641,3458454.782,14888433.56,3710699.404,4837439.345,3621089.84,3527955.873,4767902.619,2447291.069,3964621.136,6857862.842,2421228.995,7371075.933,34012.91833,6376272.987,1835631.581,5196977.15,2444236.559,6139720.119,746129.7979,4675157.401,4747632.648,5910303.338,969131.4267,1158098.674,6145565.869
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,L_Arabinose,1182732.105,487237.2952,3201691.279,611599.0118,2466933.883,3170450.717,815546.5612,951108.5941,1343115.895,1581693.933,3167581.877,867611.9155,2099644.414,1505064.539,8952642.793,2189760.691,2835985.774,1261903.447,3315591.027,2352282.941,991563.6022,1942286.198,3413555.218,1116279.117,67118.69136,42162.6243,2233108.288,502451.0607,2887388.758,1139482.486,2931143.108,1930308.537,1718913.392,2252073.628,4127932.22,2443495.721,2360350.705,1263612.332
Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Glycolaldehyde,0.002142900733,214668563.2,80663845,0.0002178796887,0.0002601789905,3331073.445,0.05085666947,0.05085666947,0.003804226275,0.002187385926,0.001337258486,0.001684874303,0,0,0.001535745848,0.0005296814856,0.001196830774,0.001503168833,0.01097363299,0.0003824403674,4.48E-05,6.98E-05,0.0004895681783,0.0004262757196,0.2046075929,0.2141251271,0.0005482209786,0.0002446950051,7.76E-05,9.22E-05,0.001262236716,0.0009615223736,0,0,0.0003418027861,0.0005649267163,0.0005649233061,0.001501931374
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,N_Acetylneuraminic_acid,0,0,204891.0867,1.712320616,21175.99642,0.0002977246799,0,0,2650.943123,7125.104173,189809.3396,25640.03092,0,0,366499.5081,142297.8915,194932.7992,73939.29688,172816.0487,157841.2543,4838.317431,30466.03517,203535.4004,7374.459395,0.01976746316,0.02283182047,51562.23697,0.9242608936,100447.457,31941.94964,147112.6126,7718.072102,0,0,223917.8401,15977.34735,14630.97956,83675.1097
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glucosamine,0,0,40.84624931,0,346.2901969,111.2728792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.515506852,0,0,0,0,0,862.9932961,513.5833698,0,0,0,0,0,0,0,203.8927005
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,D_Xylitol,0.0003167917261,18858.2915,24092.85126,67420.6606,11059.89641,2933.674762,872913894,872913894,9497.198723,3512.377649,4376.01549,2565.868616,0.0002595856937,0.0002595856937,383129.3393,7.78E+04,59621.4482,497.5155411,45177.48085,4079.396281,5.84E-05,1294.195634,93435.4965,44.25965618,6.09E-05,68199197,2623.423486,48.53416079,46020.76359,13953.90033,53810.02881,3203.897487,0.0003059457498,2.013745322,111835.1175,2179.198222,2194.898664,102811.9242
Organic oxygen compounds,Organooxygen compounds,Organooxygen compounds,D_Mannitol,3586000.162,1591355.961,2157443.047,3524.302684,8683697.372,13915340.55,3007995.273,3543412.181,7407495.242,5314931.244,19930403.93,1457698.772,9470341.025,5601609.132,33828723.4,8918459.856,19757378.94,6322786.303,14261634.19,8638553.133,8627924.675,1496455.419,18396696.09,1609742.469,953815.8272,441590.5763,13365053.5,4829092.611,13167021.2,4331791.303,22826191.01,6726680.521,18317600.29,8660249.868,24375758.29,4414060.633,4270183.19,13445874.57
Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Ethanol,335736.1902,106912.6222,414.010308,0,483400.2002,67883.01032,2256322.086,2127997.42,30283.33378,22606.14165,33825004.36,67068.09305,12226.84063,3982.804286,851270.8684,648946.2833,282673.1069,83660.22112,344293.6623,90809.47344,92318.74419,55969.3825,287582.1875,202906.8783,5578006.323,84297.98669,123521.4304,2648.954706,196089.0392,93592.24732,548976.9557,1231661.342,31167.94417,35421.72164,298938.0225,47144.14228,47410.08207,155131.5281
Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Propanal,0,0,45096.79338,0,0,0,0,0,84.73779125,5405.243185,86469.44516,52.19064819,0,0,13118.76888,29793.31265,55770.40927,17711.40126,113052.3888,0,0,0,605709.7482,10374.6931,0,0,1416.906858,0,1.486001115,23390.23936,44409.62432,2.332783741,0,0,18322.00441,1539.996567,3535.315957,0
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glyceraldehyde,0,0,54946.37562,0.001636160492,0.00140615742,2.744130645,31973.82987,35155.38712,2754.177403,11.57555468,3.068189253,11294.59754,0,0,0.005250619774,135.8883964,15353.831,0,246.6402547,481.2323583,0,0,0,0,26.86307739,0,8959.803701,0,0.001624515395,0.001608048749,0,0,1312.281803,0,665.7082497,0,0,6260.910627
Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,S_Propane_1_2_diol,0,0,21225.76602,0,29441.75045,55.61579291,0,0,803.1447574,0,14799.02762,0,0,0,58835.26997,36288.33375,6844.756037,46.38161288,102765.1082,0,0,0,95193.89429,966.9197779,0,0,16431.80707,0,24414.6492,0,15014.95756,0,232275.3825,232275.3825,31863.58245,0,0,3908.106367
Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sorbitol,0,0,2087.957152,260.2126191,97386.01913,225799.3306,0,0,31347.0571,152.3301671,1564822.955,167381.0806,0,0,3880333.507,232375.5025,1805052.067,25096.91377,4333898.277,931870.5902,22698.14035,130323.2976,167563.8699,79431.13659,0,0,0,0,194042.8001,691407.8845,694265.0599,393626.4803,0,0,982833.3218,31606.80057,74043.44594,582369.7102
Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,Pantothenic_Acid,16692.65645,12285.1458,1038101.121,0,6951.186354,1587.047518,14462.6647,12226.42042,429.8054754,16698.49005,1000.813251,386.4430831,76400.12475,10659.22613,16878.21995,9253.569949,502.75793,4243.618235,1196.890281,34177.08881,484.1505355,603.1417049,1371.947063,67.56925087,49.46408331,399.4848091,21122.32215,112092.9084,4283.881644,8243.023713,15031.52399,222.0614318,45222.94103,13664.24773,21363.21884,1288.979453,2511.799225,2785.225477
