SuperClass,Class,SubClass,Metabolite,A1_Control,A1_Context,A2_Control,A2_Context,B1_Control,B1_Context,B2_Control,B2_Context,C1_Control,C1_Context,C2_Control,C2_Context,D1_Control,D1_Context,D2_Control,D2_Context,E1_Control,E1_Context,E2_Control,E2_Context,F1_Control,F1_Context,F2_Control,F2_Context,G1_Control,G1_Context,H1_Control,H1_Context,H25361_Control,H25361_Context,H25362_Control,H25362_Context,H25363_Control,H25363_Context,H25364_Control,H25364_Context,H25365_Control,H25365_Context
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L_Cysteine,178912205,134178876.8,155584604.4,13426724.41,135049744.1,105537017.9,203666972.8,199227140.4,152759028.1,179846552,193506190.3,84074399.13,237725217.8,254828377.5,489187202.5,134072564.4,214671657.8,93522717.24,198286338,71020832.86,61719618.77,43813505.24,210622415.6,26082707.35,17494021.28,20945444.96,221551177.8,107132069,146924611.9,59053264.74,224303346,44289637.85,214345310.8,249469524.9,199590632.8,37022951.46,42290615.63,126428848.2
Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Fumaric_Acid,21823.39926,16497.5584,138868.5668,286221.5091,167399.0068,36830.01147,17158.15991,15339.56701,973194.5421,730878.1506,673938.0022,281911.7608,232598.7523,228185.1241,17655259.36,5026.446576,591983.6522,268450.5784,743190.6423,19532.05087,3652.43589,6148.902407,34822.98601,11658.34481,1595.793391,1918.629653,49614.18648,33711.33205,172923.3197,2493.259903,4034473.727,66480.18915,22591.15743,25783.27262,9197.696569,40370.14005,74027.97402,25043.9936
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L_Leucine,10453.01668,104424.4474,5440.143134,5305.684943,4535.588858,4636.674637,5585.414242,8023.114245,14756.86525,5469.334461,133102.5412,2797.71424,34894.39092,71198.06765,376608.8548,118909.8813,54270.66156,1770.159319,15847.33231,41112.38047,3040.037746,2576.289542,67442.37205,6352.856373,268.8180481,361.868751,182817.3827,3004.27074,10609.42719,8252.907804,10547.92464,7632.190211,37901.04922,17801.07958,48928.93442,20856.77489,568.7132972,2269.472329
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",D_Alanine,0,0,4.191629368,28.12806684,14.29460203,123145.5895,0,0,0,0,0,0,0,0,0,0,0.5383696748,0,0,0,3761643.887,0,0,0,0,0,0,0,0.0205162472,0,0,0,0,0,0.003498455761,0,0,0
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L_Histidine,5410178.217,6598548.739,1985421.856,19670.94848,1184709.454,40133.75072,4212867.311,4455957.797,1724538.299,1493059.271,3915167.871,194272.1988,8653595.025,9261598.251,3218464.357,1994736.895,2542785.887,434804.756,1264896.51,2453217.319,516476.9255,751576.5471,8078820.008,2009329.789,419067.6679,228684.4501,4368368.129,2625623.031,710300.2104,1932738.82,3757912.359,1143173.047,1697359.813,6787840.845,5678461.287,867645.7816,717484.5006,920156.7259
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L_Proline,152356.6511,691723.0075,6742493.194,641711.3247,1447140.698,16217.75206,16987.89624,198905.3086,88426.39008,1209537.144,1192127.123,3684118.94,45944.96088,2655570.612,20399925.84,845912.2223,5817645.29,2891940.317,25835816.4,6753513.51,3386326.477,2457630.345,4289071.641,3977097.434,468.8383029,116736.1532,2647723.215,18271491.91,1279757.297,38843.57542,1454299.782,6853414.012,18015422.06,16265155.42,4953711.775,9390867.149,7955415.624,3163997.135
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L_Asparagine,615230.8046,137713923.9,1223044.93,43999.73,817207.4704,5463.820014,721620.544,550540.6046,916871.7472,678120.3081,2049550.017,213247,1600996.049,1782681.781,5234774.015,937421.2499,1898359.776,513243.3478,2066121.467,741716.8456,346009.0341,401048.8426,1826933.364,213118.9166,72396.52579,95.98764789,1713582.542,927579.3011,1929710.319,757987.8749,1755064.15,473860.7611,1046995.782,2131624.339,1766435.208,483170.9781,492350.8748,1029811.766
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Homocysteine,0,0,907.9235646,61.01332422,0,0,0,0,0,0,0,0,0,0,0.0003446371399,166.6171714,0,0,0,0,0,0,0,0,0,0,0,0,65112406,1.39E+03,0,0,0,0,0,0,0,0
Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Citric_Acid,422546791.2,305838024,1432375046,65362400.15,795234968.1,808.63743,457048092.2,448496401.1,512263231.3,513563311.1,1287628886,266346227.6,1108276372,1113744308,4291172587,848541515.8,1421335125,512725783.9,1557251865,388403463.5,353930119.7,210856117.9,1517637662,72640813.39,33302098.83,46119639.58,1281967762,428828347.7,1081578724,409933846.3,1341576940,267247506.6,683307117.4,665960316,1303510054,211734384.8,220557753.8,774532125.7
Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,Propionic_Acid,148219.168,111258.3952,23689110.63,1709229.046,60444354.44,0.1051712685,314170809.1,320327615.7,337644882.6,264303138.2,30977844.01,2880933.416,97664.67134,96151.68343,91151951.47,44256687.06,39874902.88,15560031.75,23390766.37,2265952.306,13038907.22,331117800.1,10190932.35,1004793.173,99072514.7,0,29483672.16,1198246.698,68471159.94,63231151.17,69006274.01,1479448.66,56016.19407,59364.30551,1842306.291,317826.8834,275791.2202,324086.3033
