Metabolites,A1_Control,A1_Context,A2_Control,A2_Context,B1_Control,B1_Context,B2_Control,B2_Context,C1_Control,C1_Context,C2_Control,C2_Context,D1_Control,D1_Context,D2_Control,D2_Context,E1_Control,E1_Context,E2_Control,E2_Context,F1_Control,F1_Context,F2_Control,F2_Context,G1_Control,G1_Context,H1_Control,H1_Context,H25361_Control,H25361_Context,H25362_Control,H25362_Context,H25363_Control,H25363_Context,H25364_Control,H25364_Context,H25365_Control,H25365_Context
L_Aspartic_Acid,3206.123714,3105.205118,2453.589901,82.28089246,740.2095569,664.4975181,4560.216727,3192.137626,2070.91812,2834.348831,2584.403481,463.0798262,3174.581192,3099.215896,2633.501694,1769.199389,2076.316138,398.7522407,2869.141579,584.4271249,149.8449028,524.6183443,1580.715149,197.5592,327.4942883,264.3329924,2396.725957,1372.643744,2890.477305,1184.018911,2231.810966,581.2740513,2883.174726,3225.277827,2465.768975,695.9151317,735.8615449,1577.012698
Adenosine_3_5_diphosphate,0,0,0,0,0,0,0,0,0,0,0.00000005029695067,0.00000005867511716,0,0,0,0,0,0,0,0,0,0.00000001526036728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formic_Acid,13239.22647,13315.97471,6678.874756,6076.543735,48461.54063,10181.16213,13661.28881,11190.96798,19225.38835,41867.56099,2370.658727,87.03628875,243037.7935,210769.8083,9244.082104,7731.433247,1553.696826,6850.284554,14750.32045,1210.891005,173.9978818,277.2594154,10075.64775,2621.312814,3964.657023,1045.067275,485.1584093,5655.255636,2133.40206,4365.7347,4937.651171,15049.82058,9205.623013,9970.086051,2681.364629,1994.32202,1840.095622,19350.84788
Sulfate,525.3024905,314.480904,1687.124395,98.81999995,604.2478297,1470.69031,3349.116455,2497.426731,2592.478975,1032.508345,2562.873323,36.24171697,77.44054069,1202.260053,1661.571099,2070.838139,1281.956473,125.3694999,284.7213954,116.5996498,78.76403661,302.9967217,1599.50575,22.99121488,15.2439623,36.29179422,1804.253885,774.5539671,2116.582548,1110.716421,1910.555597,339.8352166,153.7386279,100.4001226,579.063366,730.8955313,851.7927698,539.4843631
L_Arginine,303.9149753,269.3343124,220.4499941,11.72803964,231.180848,63.11968544,170.5598495,251.9299382,86.20265379,130.4432322,94.24372783,24.0005937,310.5626701,725.332562,144.961748,295.7720215,476.8506269,65.69181473,537.1600811,29.73349748,21.63577292,44.00705992,456.0303051,80.16331188,44.64843459,17.29983692,45.36205332,99.74738235,41.42159733,33.97689365,438.9296946,25.46586312,183.7810692,178.2792035,245.3923445,17.50639282,130.7809391,16.87735165
L_Glutamine,10642.46317,8282.459947,4435.426732,518.6211603,827.7483387,2054.209081,16289.02571,14134.49971,3422.335219,2974.237212,5436.652877,443.3016605,5230.047789,7282.568908,4909.237523,1847.695868,2594.701832,151.5511267,9629.782833,1756.772589,15147.44715,3469.120675,6273.388609,2220.388868,379.0467308,133.5094637,679.2204876,1244.552081,4092.826309,6854.119226,1555.373281,2930.186102,2074.285472,3552.242545,2323.979532,448.5629665,916.5515837,12606.18119
L_Serine,13616.55589,14142.71465,13263.79841,451.3003832,6618.345859,5245.908783,20497.46028,14270.22956,9204.994573,13033.98364,13376.87902,1883.548765,14277.38088,14277.38091,12840.0952,10283.55289,13486.05445,2207.682696,15646.82752,1792.674983,529.6873105,7222.718183,13261.54874,908.8001407,1045.769734,1152.296696,13546.96785,6933.137506,13066.29902,4697.137169,13003.37695,2906.644677,12718.09284,13001.67426,13054.10105,3065.061968,2685.01824,13787.94761
Formaldehyde,0.02964178466,0.0000001380936454,0,0,0,0,0.000000005547182391,0,0.00000005861129492,44360.20229,0,0,0.003733505449,0.003739740239,0,0,0,0,0,0,0,0,0,0,0.00000006071878775,0.00000006434243973,0,0,0,0,0,0,0.0642681734,0.1691005285,0.03058849396,0,0,0
Cu2_,0.00005320698363,0.00005320698363,0.0000532065058,0.00005320729718,0.00005320737743,0.00005320688506,0.00007749505164,0.00003652905705,0.00004070168444,0.00005320706289,0.00005320665228,0.00005320659661,0.00005320737394,0.00005320738395,0.00005320596111,0.00005320641435,0.00005320645669,0.00005320762461,0.00006842387087,0.00005320566146,0.00005320717751,0.00005320598393,0.00005320743455,0.00005320735557,0.00005320654151,0.00005320726075,0.00005320718911,0.00005320664973,0.00005320670808,0.00005320697098,0.00005320739815,0.00005320734542,0.00005320738847,0.00005320729281,0.00005320526729,0.00005320877389,0.00005320877329,0.0000532062765
Ascorbic_Acid,0,0,0,0,2113.287731,2539.247895,0,0,51.99319093,205.0449442,4264.543642,1512.355973,0,0,3985.558399,2765.743218,3163.685131,1492.925076,4120.970026,269.9702789,2127.443177,2123.482665,3187.687857,2191.398151,0.001602521678,0.0000470285309,2110.861986,1091.872887,5105.141604,2206.931071,2692.622809,3725.336817,0,0,4602.137855,3463.122184,3386.390332,4509.706497
L_Methionine,30.76958541,39.93087834,3607.218281,2131.443821,0.1313455387,12.29556696,18.30980618,0.2582452237,9.488151996,4.119653654,72.26778192,0.1349955946,67.88769568,168.2886182,44.84980795,0.494762821,24.53963422,0.3088446257,0.3268335874,0.02660726532,0.03476248616,0.06358966329,92.77881084,141.5859868,0.09453539298,0.2169759562,12.39405656,118.6369249,2.124372567,0.2851544258,6.116592912,249.8703537,200.6494724,391.9077657,150.0507439,34.69848353,4.544570494,7.299293163
Calcium,0.00005320699922,0.00005320699922,0.5254750845,0.06511534154,0.00005320738839,0.00005320691298,0.00007749507814,4.02905122,0.00004070168011,0.00005320705057,0.00005320665833,0.00005320660935,0.00005320743355,0.00005320741425,0.00005320600513,0.00005320650666,0.0000532064791,0.00005320762289,0.00006842382721,0.0000532057355,0.00005320721155,0.0000532060431,0.00005320745715,0.00005320731362,0.00005320651765,0.00005320725994,0.00005320713962,0.00005320664659,0.0000532067082,0.00005320691782,0.00005320732927,0.00005320730729,0.00005320737807,0.00005320736157,0.00005320528968,0.00005320882844,0.00005320885185,0.00005320634488
Ornithine,51.23362012,8.54153276,0.00005320653331,0.00005320725984,47.3656512,70.98587959,7333.256957,1235.289526,20.15150826,25.10683963,102.9806246,903.4142927,71.6340841,31.57498042,114.7932022,134.3315666,106.776786,1141.007629,45.19775252,435.0581294,1705.238539,58.18787272,200.971082,11.71627887,3.647516311,11.12094247,203.4495796,25.66707639,139.6874168,321.6359793,136.5398165,36.59584812,84.10325798,38.40960793,208.3855218,50.39648569,45.26843295,8244.809517
L_Tryptophan,1.091446273,0.2497816464,132.103198,1515.887988,46.69373916,30.03682079,9.73478885,638.5305078,6.841027802,10.491057,105.6363773,10.50271675,0.002572822613,0.6932659577,81.044977,126.0241136,131.7890025,27.563536,342.5923305,50.34661151,0.7735473523,29.04979653,59.06429943,27.67543122,0.5178793137,0.003471952376,112.4636155,20.62407027,213.0030502,46.64665677,141.516196,29.53941504,342.4550972,358.1872512,149.871944,41.08774569,36.65864317,12.94725899
L_Phenylalanine,36.88320643,20.94046066,93.67801482,2.697751053,13.59739716,0.7138806313,47.93559026,49.37228833,18.3563217,1.240857238,18.04337017,1.988030357,95.339579,39.88571909,83.35410552,12.32772977,101.5150188,20.36173455,329.3556582,0.2029942264,6.661303672,0.3717232848,142.6903721,40.17416613,0.4663927502,3.800913908,7.951081465,36.1007416,93.69266974,28.63308887,37.26564801,10.36787707,59.81945127,0.9462281353,15.85974624,43.89827841,54.10972709,25.01497048
