Metabolite	A01	A02	B01	B02	C01	C02	D01	D02	E01	E02	F01	F02	G01	H01	H25361	H25362	H25363	H25364	H25365
2hyoxplac[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	0	2000	2000
2obut[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2obut[fe]	2000	2000	2000	2385.255424	1213.369856	2000	0	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	0
2obut[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000
2oh_cbz[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2oh_cbz[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
2oh_cbz[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
2oh_cbz_glc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2oh_cbz_glc[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
2oh_cbz_glc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
2oh_mtz[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2oh_mtz[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
2oh_mtz[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
2oh_mtz_glc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2oh_mtz_glc[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
2oh_mtz_glc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
34dhpha[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34dhpha[fe]	2000	2000	2000	2000	2000	2000	2000	0	0	2000	2000	2000	0	2000	2000	0	0	2000	2000
34dhpha[u]	2000	2000	2000	2000	2000	2000	2000	0	0	2000	2000	2000	0	2000	2000	0	0	2000	2000
3hibup_S[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3hibup_S[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3hibup_S[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3hibupglu_S[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3hibupglu_S[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3hibupglu_S[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3hphac[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3hphac[fe]	2000	2000	2000	2000	2000	2000	2000	0	0	2000	2000	2000	0	2000	2000	0	0	2000	2000
3hphac[u]	2000	2000	2000	2000	2000	2000	2000	0	0	2000	2000	2000	0	2000	2000	0	0	2000	2000
3meacmp[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3meacmp[fe]	2000	2000	2000	2000	4000	2000	2000	2000	2000	2000	3333.333333	2000	2104.524465	2000	2000	2000	2000	2000	3932.2954
3meacmp[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3mop[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3mop[fe]	2000	2000	2000	2002.368323	1967.210802	2000	3938.561416	2000	2000	2000	0	2000	1995.933811	2000	2000	2000	2000	1997.921301	192.3057769
3mop[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3oh_cbz[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3oh_cbz[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3oh_cbz[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3oh_cbz_glc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3oh_cbz_glc[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3oh_cbz_glc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3oh_dlor[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3oh_dlor[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3oh_dlor[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3oh_dlor_glc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3oh_dlor_glc[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3oh_dlor_glc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3oh_mdea[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3oh_mdea[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3oh_mdea[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3oh_mdea_glc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3oh_mdea_glc[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3oh_mdea_glc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3oh_mxn[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3oh_mxn[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3oh_mxn[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3oh_mxn_glc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3oh_mxn_glc[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
3oh_mxn_glc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4abut[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4abut[fe]	2000	2000	2000	4428.79861	3955.006298	2000	6159.767346	2000	2000	2000	2671.298749	2000	2777.476118	2000	2000	2000	2000	1932.566922	7552.220306
4abut[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4abz[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4abz[fe]	2000	2000	2000	1893.707699	1998.870521	2000	1999.339746	2000	2000	2000	1999.718518	2000	1970.46649	2000	2000	2000	2000	1999.746659	1999.931923
4abz[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4ahmmp[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4ahmmp[fe]	2000	2000	2000	1999.97538	1999.996119	0	1999.999544	2000	0	0	0	0	1999.994111	0	2000	0	0	0	0
4ahmmp[u]	2000	2000	2000	2000	2000	0	2000	2000	0	0	0	0	2000	0	2000	0	0	0	0
4dh_tpno[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4dh_tpno[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4dh_tpno[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4dh_tpno_1glc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4dh_tpno_1glc[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4dh_tpno_1glc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4hmdgluc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4hmdgluc[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4hmdgluc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4hoxpacd[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4hoxpacd[fe]	0	2000	2000	0	0	2000	2000	2000	2000	2000	2000	0	0	2000	2000	0	0	2000	2000
4hoxpacd[u]	0	2000	2000	0	0	2000	2000	2000	2000	2000	2000	0	0	2000	2000	0	0	2000	2000
4hphac[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4hphac[fe]	2000	2000	2000	0	0	2000	2000.057027	2000	2000	2000	2005.173811	2000	0	2000	2000	2000	2000	2004.240018	2005.218188
4hphac[u]	2000	2000	2000	0	0	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	2000	2000	2000
4oh_dcf[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4oh_dcf[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
4oh_dcf[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
