Metabolite	A01	A02	B01	B02	C01	C02	D01	D02	E01	E02	F01	F02	G01	H01	H25361	H25362	H25363	H25364	H25365
trp_L[u]	0	0	0	0	0	0	0	0	0	0	0	0	0.181410219	0	0	0	0	0	0
tsul[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ttc_ggdp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ttdca[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.096124126	0	0	0	0	0	0
ttdca[p]	0	0	0	0	0	0	0	0	0	0	0	0	0.096124126	0	0	0	0	0	0
ttdca[u]	0	0	0	0	0	0	0	0	0	0	0	0	0.096124126	0	0	0	0	0	0
tyr_L[c]	0	0	0	0	0	0	0	0	0	0	0	0	2.153540154	0	0	0	0	0	0
tyr_L[p]	0	0	0	0	0	0	0	0	0	0	0	0	0.463806306	0	0	0	0	0	0
tyr_L[u]	0	0	0	0	0	0	0	0	0	0	0	0	0.463806306	0	0	0	0	0	0
u23ga[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.384719414	0	0	0	0	0	0
u3aga[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.384719414	0	0	0	0	0	0
u3hga[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.384719414	0	0	0	0	0	0
uaGgla[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uaaGgla[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uaagmda[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.096124126	0	0	0	0	0	0
uaccg[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.096124126	0	0	0	0	0	0
uacgam[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.576967666	0	0	0	0	0	0
uacmam[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uagmda[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.096124126	0	0	0	0	0	0
uama[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.096124126	0	0	0	0	0	0
uamag[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.096124126	0	0	0	0	0	0
uamr[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.096124126	0	0	0	0	0	0
udcpdp[c]	0	0	0	0	0	0	0	0	0	0	0	0	2.06582319	0	0	0	0	0	0
udcpp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.096124126	0	0	0	0	0	0
udp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.672980337	0	0	0	0	0	0
udpacgal[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
udpg[c]	0	0	0	0	0	0	0	0	0	0	0	0	5.11E-15	0	0	0	0	0	0
udpgal[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ugmd[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.096124126	0	0	0	0	0	0
ugmda[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.096124126	0	0	0	0	0	0
ump[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.288483833	0	0	0	0	0	0
unaga[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ura[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ura[p]	0	0	0	0	0	0	0	0	0	0	0	0	-1.379608538	0	0	0	0	0	0
ura[u]	0	0	0	0	0	0	0	0	0	0	0	0	-1.379608538	0	0	0	0	0	0
uri[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.507946308	0	0	0	0	0	0
utp[c]	0	0	0	0	0	0	0	0	0	0	0	0	3.057647303	0	0	0	0	0	0
val_L[c]	0	0	0	0	0	0	0	0	0	0	0	0	771.2532955	0	0	0	0	0	0
val_L[p]	0	0	0	0	0	0	0	0	0	0	0	0	1282.44505	0	0	0	0	0	0
val_L[u]	0	0	0	0	0	0	0	0	0	0	0	0	1282.44505	0	0	0	0	0	0
xan[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xmp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.580880119	0	0	0	0	0	0
xtsn[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xu5p_D[c]	0	0	0	0	0	0	0	0	0	0	0	0	-0.48084354	0	0	0	0	0	0
zn2[c]	0	0	0	0	0	0	0	0	0	0	0	0	1.92758735	0	0	0	0	0	0
zn2[p]	0	0	0	0	0	0	0	0	0	0	0	0	0.011900698	0	0	0	0	0	0
zn2[u]	0	0	0	0	0	0	0	0	0	0	0	0	0.011900698	0	0	0	0	0	0
10fthf5glu[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10fthf[c]	0	0	0	0	0	0	0	0	0	0	0	0	3.522244306	0	0	0	0	0	0
10m3hddcaACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
10m3hundecACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10m3oddcaACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
10m3oundecACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10mddcaACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
10mtddec2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
10mtundec2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10mundecACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11m3hddcaACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
11m3oddcaACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
11mddcaACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
11mtddec2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
12daihdglyc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12daipdglyc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12dgr120[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12dgr140[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12dgr141[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12dgr160[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12dgr161[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12dgr180[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12dgr181[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12dihdglyc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12dipdglyc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12ditdglyc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12dixdglyc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12m3hmyrsACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
12m3htridecACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12m3omyrsACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
12m3otridecACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12mmyrsACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
12mtmrs2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
12mtridecACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12mttritec2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12ppd_S[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12ppd_S[p]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12ppd_S[u]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13dpg[c]	0	0	0	0	0	0	0	0	0	0	0	0	1.14E-13	0	0	0	0	0	0
13m3hmyrsACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
13m3omyrsACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
13mmyrsACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
13mtmrs2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
14m3hpalmACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
14m3hpentdecACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14m3opalmACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
14m3opentdecACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14mpalmACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
14mpentdecACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14mtpalm2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
14mtpentdec2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15m3hpalmACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
15m3opalmACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
15mpalmACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
15mtpalm2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
1agpe120[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1agpe140[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1agpe141[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1agpe160[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1agpe161[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1agpe180[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1agpe181[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1agpg120[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1agpg140[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1agpg141[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1agpg160[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1agpg161[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1agpg180[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1agpg181[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1aihpdecg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.258292468	0	0	0	0	0	0
1aipdecg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ddecg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	5.895492834	0	0	0	0	0	0
1hdec9eg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1hdecg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ihdecg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1ihpdecg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.258292468	0	0	0	0	0	0
1ipdecg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1itdecg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1odec11eg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1odecg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.258292468	0	0	0	0	0	0
1pyr5c[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1tdec7eg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1tdecg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23dhmb[c]	0	0	0	0	0	0	0	0	0	0	0	0	-1.14E-13	0	0	0	0	0	0
23dhmp[c]	0	0	0	0	0	0	0	0	0	0	0	0	5.12E-14	0	0	0	0	0	0
25aics[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25dhpp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26dap_LL[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26dap_M[c]	0	0	0	0	0	0	0	0	0	0	0	0	1999.08198	0	0	0	0	0	0
26dap_M[p]	0	0	0	0	0	0	0	0	0	0	0	0	1999.08198	0	0	0	0	0	0
26dap_M[u]	0	0	0	0	0	0	0	0	0	0	0	0	1999.08198	0	0	0	0	0	0
2agpe120[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2agpe140[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2agpe141[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2agpe160[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2agpe161[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2agpe180[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2agpe181[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2agpg120[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2agpg140[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2agpg141[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2agpg160[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2agpg161[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2agpg180[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2agpg181[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2ahbut[c]	0	0	0	0	0	0	0	0	0	0	0	0	1.982942908	0	0	0	0	0	0
2ahhmd[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2ahhmp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2ameph[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2aobut[c]	0	0	0	0	0	0	0	0	0	0	0	0	2.31E-14	0	0	0	0	0	0
2c25dho[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2dda7p[c]	0	0	0	0	0	0	0	0	0	0	0	0	1.706463478	0	0	0	0	0	0
2ddecg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2dhp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.037556472	0	0	0	0	0	0
2dmmq7[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.037556472	0	0	0	0	0	0
2dmmq8[c]	0	0	0	0	0	0	0	0	0	0	0	0	3.041560277	0	0	0	0	0	0
2dmmql8[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.037556472	0	0	0	0	0	0
2dr1p[c]	0	0	0	0	0	0	0	0	0	0	0	0	140.9832532	0	0	0	0	0	0
2dr5p[c]	0	0	0	0	0	0	0	0	0	0	0	0	140.9832532	0	0	0	0	0	0
2hdec9eg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2hdecg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2ippm[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2mahmp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.018778236	0	0	0	0	0	0
2mbcoa[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
2mbutACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
2me4p[c]	0	0	0	0	0	0	0	0	0	0	0	0	1.856210282	0	0	0	0	0	0
2mecdp[c]	0	0	0	0	0	0	0	0	0	0	0	0	1.856210282	0	0	0	0	0	0
2mpropACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2obut[c]	0	0	0	0	0	0	0	0	0	0	0	0	1.982942908	0	0	0	0	0	0
2odec11eg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2odecg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2ohph[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.018778236	0	0	0	0	0	0
2ombzl[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.018778236	0	0	0	0	0	0
2omhmbl[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.018778236	0	0	0	0	0	0
2ommbl[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.018778236	0	0	0	0	0	0
2omph[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.018778236	0	0	0	0	0	0
2oph[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.018778236	0	0	0	0	0	0
2p4c2me[c]	0	0	0	0	0	0	0	0	0	0	0	0	1.856210282	0	0	0	0	0	0
2pg[c]	0	0	0	0	0	0	0	0	0	0	0	0	1.14E-13	0	0	0	0	0	0
2pglyc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2s5epchc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2shchc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2tdec7eg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2tdecg3p[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33hmeoxobut[c]	0	0	0	0	0	0	0	0	0	0	0	0	-1.14E-13	0	0	0	0	0	0
34hpp[c]	0	0	0	0	0	0	0	0	0	0	0	0	4.60E-14	0	0	0	0	0	0
3a2opp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3c2hmp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3c3hmp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3c4mop[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3dhq[c]	0	0	0	0	0	0	0	0	0	0	0	0	1.706463478	0	0	0	0	0	0
3dhsk[c]	0	0	0	0	0	0	0	0	0	0	0	0	1.706463478	0	0	0	0	0	0
3h3mop[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3haACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3hddecACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3hdecACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3hhexACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3hmrsACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	1.214105589	0	0	0	0	0	0
3hoctACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3hoctaACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3hpalmACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3mbutACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
3mob[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.037556472	0	0	0	0	0	0
3mop[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
3oddecACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3odecACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3ohexACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3omrsACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	1.214105589	0	0	0	0	0	0
3ooctACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3ooctdACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3opalmACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3ophb[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.018778236	0	0	0	0	0	0
3pg[c]	0	0	0	0	0	0	0	0	0	0	0	0	-1825.419276	0	0	0	0	0	0
3php[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3psme[c]	0	0	0	0	0	0	0	0	0	0	0	0	1.706463478	0	0	0	0	0	0
4abut[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4abutn[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4abz[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4ahmmp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4ampm[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.018778236	0	0	0	0	0	0
4c2me[c]	0	0	0	0	0	0	0	0	0	0	0	0	1.856210282	0	0	0	0	0	0
4h2oglt[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4hba[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.018778236	0	0	0	0	0	0
4hbz[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.018778236	0	0	0	0	0	0
4hthr[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4m3hhexACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
4m3hpentACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4m3ohexACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
4m3opentACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4mhexACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
4mop[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
4mpentACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4mpetz[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.018778236	0	0	0	0	0	0
4mthex2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
4mtpent2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4pasp[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4per[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4ppan[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.037556472	0	0	0	0	0	0
4ppcys[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.037556472	0	0	0	0	0	0
4r5au[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5aizc[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5aprbu[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5apru[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5drib[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5fthf[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5m3hhexACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
5m3ohexACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
5mhexACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
5mta[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5mthex2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
5mthf[c]	0	0	0	0	0	0	0	0	0	0	0	0	3.022782041	0	0	0	0	0	0
5mtr[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5odhf2a[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5prdmbz[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.018778236	0	0	0	0	0	0
6m3hheptACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6m3hocACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
6m3oheptACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6m3oocACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
6mheptACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6mocACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
6mthept2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6mtoct2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
6pgc[c]	0	0	0	0	0	0	0	0	0	0	0	0	1239.91242	0	0	0	0	0	0
6pgl[c]	0	0	0	0	0	0	0	0	0	0	0	0	1239.91242	0	0	0	0	0	0
7m3hocACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
7m3oocACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
7mocACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
7mtoct2eACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
8aonn[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8m3hdcaACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
8m3hnonACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8m3odcaACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0.516584936	0	0	0	0	0	0
8m3ononACP[c]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
